questionID,questionText,answerText
0,"Why does my  elder son get scared so easily? My elder son seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your son as he is your eldest , he may be afraid to handle so much resposibilities."
1,"Why does my  elder daughter get scared so easily? My elder daughter seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your daughter , she may be afraid to handle so much resposibilities. "
2,"Why does my  daughter get scared so easily? My  daughter seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your daughter as she is your youngest , she may not handle so much responsibilities to her age."
3,"Why does my younger daughter get scared so easily? My younger daughter seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your daughter as she is your youngest , she may have the pressure to be as sucessfull as older ones."
4,"Why does my middle daughter get scared so easily? My middle daughter seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your daughter as she is your middle , she may have the pressure to be as sucessfull as older ones and younger ones."
5,"Why does my younger son get scared so easily? My younger son seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your son as he is your youngest , he may have the pressure to be as sucessfull as older ones."
6,"Why does my middle son get scared so easily? My middle son seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your son as he is your youngest , he may have the pressure to be as sucessfull as older ones."
7,"Why does my son get scared so easily? My son seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your son , he may have the pressure to win always"
8,"Why does my single son get scared so easily? My single son seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your son , he may have the pressure to win always as he is the only hope of the family"
9,"Why does my step son get scared so easily? My step son seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your step son as he will have pressure to cop /mingle with new family .First make him feel comfortable"
10,"Why does my step daughter get scared so easily? My step daughter seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your step daughter as she will have pressure to cop /mingle with new family .First make her feel comfortable"
11,"Why does my single daughter get scared so easily? My single daughter seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your daughter she may have pressure to handle things on her own.Make her feel comfortable"
12,"Why does my teengae child get scared so easily? My teenage child seems to be in stress , and have fear of starting to do a work .What should I do? ","Most fears are a normal, natural part of childhood. However, if a child is afraid all the time, or has fears that stop them from having fun or interfere with their daily life, this could be a sign of anxiety and it may be time to get some professional help. Don't give more pressure to your kid always give them the hope no matter what happens you will be there for them."
13,"My teenage child is not able to handle things when they go wrong, not coming in front to take responsibility.What should I do",Maybe your child is afraid of failing that’s why handling more problems is tough for them. Give them the hope no matter what happens you will always be there for them. Teach them with great power comes great responsibility
14,"My  son is not able to handle things when they go wrong, not coming in front to take responsibility.What should I do",Maybe your child is afraid of failing that’s why handling more problems is tough for them. Give them the hope no matter what happens you will always be there for them. Teach them with great power comes great responsibility
15,"My elder son is not able to handle things when they go wrong, not coming in front to take responsibility.What should I do",Maybe your child is afraid of failing that’s why handling more problems is tough for them. Give them the hope no matter what happens you will always be there for them. Teach them with great power comes great responsibility
16,"My middle son is not able to handle things when they go wrong, not coming in front to take responsibility.What should I do",Maybe your child is afraid of failing that’s why handling more problems is tough for them. Give them the hope no matter what happens you will always be there for them. Teach them with great power comes great responsibility
17,"My younger son is not able to handle things when they go wrong, not coming in front to take responsibility.What should I do",Maybe your child is afraid of failing that’s why handling more problems is tough for them. Give them the hope no matter what happens you will always be there for them. Teach them with great power comes great responsibility
18,"My step son is not able to handle things when they go wrong, not coming in front to take responsibility.What should I do",Maybe your child is afraid of failing that’s why handling more problems is tough for them. Give them the hope no matter what happens you will always be there for them. Teach them with great power comes great responsibility
19,"My single son is not able to handle things when they go wrong, not coming in front to take responsibility.What should I do",Maybe your child is afraid of failing that’s why handling more problems is tough for them. Give them the hope no matter what happens you will always be there for them. Teach them with great power comes great responsibility
