questionID,questionText,answerText
0,"I'm a teenager. I get random spurts of anger, like complete, pure rage. I figured it was hormones, but others notice it too. I get self-destructive. I used to cut but stopped. Now when I get mad, I bite my arms and fingers, pull my hair, scratch my face, or punch my thighs. Basically, I do things I can hide instead of breaking anything in my room and having to explain it to my mom. I don't live in a bad household. I have a great family, a great relationship with my boyfriend, and a good education. I have no idea what this is and I don't know how to control it. It's over any little thing. This happens maybe two to three times on a good week, and it's always over stupid, petty things."," In general, when a small thing bothers us (and this happens to all of us), it's because the small thing triggers an emotion in us that we have felt ""too much"" or ""too intensely"" in the past, and we don't know how to manage that emotion effectively...we just want to avoid it as quickly as possible. Cognitive Behavioural Therapy with a qualified therapist can help you to understand what is being triggered in you and learn how to manage emotions productively. You say that your behaviours are self destructive, and I agree. It sounds like you have developed a habit of channelling your distress towards self-harm, and this is a separate and potentially more serious problem. This is a choice you make that points to shame being an issue for you. Again, a good therapist can help you learn what's behind your shame and self-harm. Your feelings are normal, and you can learn more healthy ways to deal with them with qualified help."
1,"I'm a teenager. I get random spurts of anger, like complete, pure rage. I figured it was hormones, but others notice it too. I get self-destructive. I used to cut but stopped. Now when I get mad, I bite my arms and fingers, pull my hair, scratch my face, or punch my thighs. Basically, I do things I can hide instead of breaking anything in my room and having to explain it to my mom. I don't live in a bad household. I have a great family, a great relationship with my girlfriend, and a good education. I have no idea what this is and I don't know how to control it. It's over any little thing. This happens maybe two to three times on a good week, and it's always over stupid, petty things."," In general, when a small thing bothers us (and this happens to all of us), it's because the small thing triggers an emotion in us that we have felt ""too much"" or ""too intensely"" in the past, and we don't know how to manage that emotion effectively...we just want to avoid it as quickly as possible. Cognitive Behavioural Therapy with a qualified therapist can help you to understand what is being triggered in you and learn how to manage emotions productively. You say that your behaviours are self destructive, and I agree. It sounds like you have developed a habit of channelling your distress towards self-harm, and this is a separate and potentially more serious problem. This is a choice you make that points to shame being an issue for you. Again, a good therapist can help you learn what's behind your shame and self-harm. Your feelings are normal, and you can learn more healthy ways to deal with them with qualified help."
2,I easily recognize this but have no control over it and need suggestions for managing my anger.,"I suggest that you work on emotional awareness. Emotional awareness basically means knowing what you are feeling and why.Emotional awareness also means that you can identify the link between the way you are feeling and your actions. In other words knowing that your feelings dictate what you do.Often feelings of hurt or insecurity can come out as anger if we cannot properly identify and express the feelings.Being emotionally aware also means that you are able to express your feelings to others. Being unable to do so leads to feelings of frustration and being misunderstood.Many people for many different reasons are not in touch with their emotions. For example, men traditionally have been brought up taught to not express sadness or weakness. Therefore, many men learned to turn feelings of sadness, insecurities, or fears into anger and express these feelings as anger. Being taught not to feel a certain emotion does not make that emotion disappear. Instead it makes us learn how to express it in other, incorrect, ways. If a man never learns to say “I am sad” or “that really hurt my feelings” and instead lashes out in anger, then the response they get from those around them will be to the anger and not a response to the underlying true feeling, which will leave the man feeling alone and misunderstood.You can control yourself and not explode. Walk away, remove yourself from the situation, do whatever you have to do to not lash out. Instead of reacting the way you normally would, go somewhere by yourself and think about what just happened and try to understand why such a “simple” thing upset you. What is the real feeling driving these outbursts? Maybe you can begin to recognize an underlying pattern. It might help to keep an anger journal. Write down everything that gets you upset. That might help you see a pattern and pinpoint what may be setting you off. Talking with a therapist about this would be beneficial in helping pinpoint the underlying cause of the outbursts you are experience."
3,I have been having horrendous nightmares this whole month.,"There's a narrative approach that we call nightmare ""rescripting"" that may be helpful.Since we can't really control the nature of our dreams while they're happening, we try to alter them while we are in a waking state.  In a nutshell, this refers to first writing out in detail the events of a recurring nightmare you have. Typically, there is an element of fear, danger or helplessness.Second, we rescript the nightmare by changing what happens in the dream in a way that engenders feelings of empowerment, control, competence, and/or safety. In other words, if the nightmare involved being pursued or assaulted, we might change the events of the story so that you call the police, get to a place of safety, or even fight back and protect yourself.Third, you can reread this new version of the dream over and over again, so that it becomes a well rehearsed story. The effect of this can make it so that the next time your mind goes towards the nightmare while sleeping, this new, more hopeful and empowering story competes with the old one and reduces the level of distress associated with the dream. Best of luck!"
3,I have been having horrendous nightmares this whole month.,"Are you facing any type of overwhelming situation in your waking life?Dreams and nightmares are the non-logical ways in which we make emotional sense of what goes on in our everyday waking world.Besides having some type of relaxing bedtime routine to set a peaceful mood for your sleep, and avoiding viewing violent films and video games as entertainment, maybe even avoiding news stories which sometimes have similar themes of violence, the content of our dreams and nightmares is out of our direct control.Your nightmares may offer useful clues as to what you're trying to resolve in your life.  Pay attention to the story of your nightmare because it reflects how you feel in waking life.If you feel helpless and silenced in your nightmare, or taken advantage of, or whatever dreadful situation goes on during your nightmare, then look for where in waking life, you may feel similar.In this way, you'll become clearer about stressors in your life that you may not have realized existed were it not for the stress of nightmares."
4,"I get an uncontrollable swallowing that is repetitive and then somewhat out of body feeling that lasts no more than a minute or two. It usually happens in bed at night, but I occasionally experience this during the day. I have a benign brain tumor, but the doctor said it is not associated with this.","I'm not entirely sure whether this relates to something in the mental health realm or if there is something else happening. I know you said that your doctor said it is not related to your physical condition, but have you tried speaking with your primary care physician? I've seen people with many different symptoms that end up being related to acid reflux or something of that nature. As far as the out of body experience, there are different stages of sleep, so if this is happening in the middle of the night and you are waking up from a dream, you may not be fully awake when it's going on. These are just some thoughts, but I think talking to your primary care physician would be a great place to start."
5,"I'm a teenage girl/ boy , I see my parents struggling because of me , so because of this I am getting guilty of that and blaming myself","Hello, and thank you for your question. You are clearly a
resourceful young person to reach out like this to find help. Good for you. I
have a few ideas and perhaps some other counselors will add some thoughts, too.

First, good for you for taking care of yourself and making
really good decisions – such as not getting into the car with dad when he is
intoxicated. It is really important that you consider your safety above all
else. 
To answer your heading question, yes, it is quite common for
people to blame themselves for other people’s actions. There are various
reasons why we do this. For one thing, someone may tell us that their behaviors are our fault. And depending on things like our relationship to that
person, past experiences, and our self-esteem, we may actually start to believe
it. What is important to remember is that your parents have the responsibility
to be sure that you are safe and
cared for, not the other way around. 
As for the other things you mentioned, I am concerned about both
your physical and emotional safety and well-being. It sounds like your father
has an alcohol abuse problem, and living with someone who is struggling with
addiction can be hard for anyone, let alone a teenager who is also trying to
deal with things like school. 
You may want to see if your school has a counselor or
someone you can talk to about what is going on. I will tell you that in some
states, what you have told me may be something that a counselor would have to
report to child protection services, but not necessarily. If you are concerned
about that, ask the counselor what they are obligated to report. 
If you don’t know a counselor, think about any other adult
that you would feel comfortable talking to. They may have some ideas. 
Sometimes individual states have non-profit chat lines or
hotlines for teens to call if they are struggling with things. You may be able
to find something like that in your state. I do warn your about doing random
searches, not every website is good, so be careful. 
This is clearly a tough spot for you to be in, so one of the
things that I encourage you to do while searching for support is to focus on
taking care of yourself. Sometimes things like this can really bring us down and
we stop doing the things we enjoy. Try really hard not to let that happen. If
you have interests, do them. If you catch yourself thinking too hard about
things, try to find something fun to do to distract yourself. Try to take care
of yourself in other ways, such as eating well. Exercise can really help when
we get stressed. 
I hope some of this was helpful. Good luck.
 
Robin J. Landwehr, DBH, LPC, NCC"
6,"It takes me a long time to fall asleep; I’d estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe. I believe I started losing sleep after breaking up with a girlfriend of 8 years. Also, my father’s business went bankrupt and my mother has a chronic condition. I was under a lot of stress, and life lost meaning. After improving my life and developing a habit of running and exercise to release stress, my symptoms improved. However in the past couple months, I started losing sleep again and having nightmares without warning. How can I solve this issue?","You’re noticing that as you lie down to go to sleep, there
is quite a bit going on, which may be anxiety related. It sounds like the
dreams and difficulty sleeping are reminiscent of previous experiences you had
around the time of your break up, the difficulty with your father’s business,
and your mother’s health issues. These connections to past events may be
important insights to continue exploring in addition to finding out more about
what your dreams may be trying to tell you. There is no exact science to
dreams, but many people find it fruitful to explore the content as it relates to
significant themes in their lives. I think that exploring these issues further with
a therapist could help you resolve whatever is causing you the stress, trouble sleeping, and frightening dreams."
6,"It takes me a long time to fall asleep; I’d estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe. I believe I started losing sleep after breaking up with a girlfriend of 8 years. Also, my father’s business went bankrupt and my mother has a chronic condition. I was under a lot of stress, and life lost meaning. After improving my life and developing a habit of running and exercise to release stress, my symptoms improved. However in the past couple months, I started losing sleep again and having nightmares without warning. How can I solve this issue?","First of all, exercise is always beneficial for your physical and emotional health. That's great that you have added this in your routine. Have you also considered altering your diet? Certain foods are linked with poor sleep. For example, alcohol, caffeine, nicotine and high fat content foods do not bode well with quality sleep, especially right before bed time.  On the other hand, warm milk and foods high in carbohydrates have actually shown to positively impact sleep.Additionally, at bed time it's important to keep your room dim, cool and without distractions (i.e. TV, IPad, Phone). Stick to a sleep routine and avoid any activities close to bed time that demand a lot of attention and energy.As far as your nightmares, there could be many causes contributing to them. Certain foods (many of the ones mentioned) or medications could be the culprit. Doing a bit of research into the ones you are consuming may help you eliminate the offender. You may also benefit from talk therapy with a qualified therapist to discuss any underlying issues you are experiencing. Oftentimes, depression and anxiety can manifest themselves during sleep, causing nightmares. Finally, Yoga has shown to be very beneficial for quality sleep. There are many instructional videos available that can introduce you to the practice if you'd rather not join a class right away. Best of luck to you and I sincerely hope you are able to catch up on some well deserved Z's!"
7,Sometimes 3 times a night.,Dreams are our chance to make sense of our waking lives.If you've got a lot going on in your life then your dreams are your assistants in understanding these happenings and dynamics.
